class1_balk_threshold,class_id,mean,std,n,se,ci95,metric
3,1,7.961598850369061,0.07735209435180644,100,0.007735209435180644,0.015161010492954062,mean_accepted_booking_delay
3,2,7.707252564555612,0.05608896257031793,100,0.005608896257031793,0.010993436663782314,mean_accepted_booking_delay
4,1,7.961615185940685,0.07466819492326915,100,0.007466819492326915,0.014634966204960752,mean_accepted_booking_delay
4,2,7.824493190754932,0.06554821539388418,100,0.006554821539388418,0.0128474502172013,mean_accepted_booking_delay
5,1,8.00055084568082,0.08086533472636505,100,0.008086533472636505,0.01584960560636755,mean_accepted_booking_delay
5,2,7.944994308490642,0.06924470066813572,100,0.006924470066813572,0.013571961330954601,mean_accepted_booking_delay
6,1,8.057577595173369,0.08086888984433287,100,0.008086888984433287,0.01585030240948924,mean_accepted_booking_delay
6,2,8.049666656523875,0.07093543167303774,100,0.007093543167303774,0.013903344607915397,mean_accepted_booking_delay
7,1,8.148039578088639,0.08864012540953924,100,0.008864012540953923,0.017373464580269688,mean_accepted_booking_delay
7,2,8.167802335323257,0.07892649437105051,100,0.007892649437105052,0.015469592896725901,mean_accepted_booking_delay
8,1,8.225029112484048,0.077347671010862,100,0.0077347671010862,0.015160143518128952,mean_accepted_booking_delay
8,2,8.258828324139944,0.07680634712878086,100,0.007680634712878086,0.015054044037241048,mean_accepted_booking_delay
9,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
9,2,8.347558429266552,0.08579954462625618,100,0.008579954462625617,0.01681671074674621,mean_accepted_booking_delay
10,1,8.595732712529728,0.06824237260477313,100,0.006824237260477313,0.013375505030535534,mean_accepted_booking_delay
10,2,8.54459681305719,0.06947659905668795,100,0.006947659905668794,0.013617413415110836,mean_accepted_booking_delay
11,1,8.999374947982819,0.04804561253562509,100,0.004804561253562508,0.009416940056982516,mean_accepted_booking_delay
11,2,8.830219260035145,0.05691438472109656,100,0.005691438472109656,0.011155219405334926,mean_accepted_booking_delay
12,1,9.45934289141782,0.032987905746474665,100,0.0032987905746474666,0.006465629526309034,mean_accepted_booking_delay
12,2,9.096320223471976,0.04598485802692766,100,0.004598485802692766,0.009013032173277822,mean_accepted_booking_delay
13,1,9.946126578704057,0.03350825729738036,100,0.0033508257297380365,0.006567618430286551,mean_accepted_booking_delay
13,2,8.687936638607846,0.04039208153799819,100,0.004039208153799819,0.007916847981447645,mean_accepted_booking_delay
3,1,8.537800056212346,0.07212726894174747,100,0.007212726894174746,0.014136944712582502,mean_offered_booking_delay
3,2,8.53655038876297,0.06729638538946288,100,0.006729638538946288,0.013190091536334724,mean_offered_booking_delay
4,1,8.664110099429779,0.07169885785678418,100,0.007169885785678417,0.014052976139929698,mean_offered_booking_delay
4,2,8.664437117034176,0.0750996140509133,100,0.007509961405091329,0.014719524353979005,mean_offered_booking_delay
5,1,8.802741365053098,0.07761639041959417,100,0.007761639041959418,0.015212812522240458,mean_offered_booking_delay
5,2,8.80212210705657,0.07834150909970464,100,0.007834150909970463,0.015354935783542108,mean_offered_booking_delay
6,1,8.930430115893131,0.07956412790347508,100,0.00795641279034751,0.015594569069081118,mean_offered_booking_delay
6,2,8.925979736498451,0.07900270852929414,100,0.007900270852929414,0.015484530871741651,mean_offered_booking_delay
7,1,9.071354330156826,0.08919756567735497,100,0.008919756567735497,0.017482722872761574,mean_offered_booking_delay
7,2,9.069556200757749,0.08824575696084214,100,0.008824575696084214,0.01729616836432506,mean_offered_booking_delay
8,1,9.180941036887322,0.07846538394607783,100,0.007846538394607782,0.015379215253431253,mean_offered_booking_delay
8,2,9.185028874977586,0.08232197839137993,100,0.008232197839137994,0.016135107764710468,mean_offered_booking_delay
9,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
9,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
10,1,9.561038975436087,0.0745454834250634,100,0.007454548342506339,0.014610914751312425,mean_offered_booking_delay
10,2,9.566372912678993,0.07305802881223919,100,0.007305802881223919,0.01431937364719888,mean_offered_booking_delay
11,1,9.940729271503482,0.054661859751976946,100,0.0054661859751976944,0.01071372451138748,mean_offered_booking_delay
11,2,9.933457089208218,0.05117060407137087,100,0.005117060407137087,0.01002943839798869,mean_offered_booking_delay
12,1,10.289204356874391,0.03582514328304873,100,0.0035825143283048726,0.00702172808347755,mean_offered_booking_delay
12,2,10.29385482140508,0.03860847482602387,100,0.003860847482602387,0.007567261065900679,mean_offered_booking_delay
13,1,9.946126578704057,0.03350825729738036,100,0.0033508257297380365,0.006567618430286551,mean_offered_booking_delay
13,2,9.947294542058655,0.031772166693196366,100,0.0031772166693196367,0.006227344671866488,mean_offered_booking_delay
3,1,0.23556864444925807,0.0026301077137689107,100,0.00026301077137689106,0.0005155011118987065,percent_serviced
3,2,0.30259884325296577,0.0035895289969582267,100,0.00035895289969582267,0.0007035476834038124,percent_serviced
4,1,0.24368214108690697,0.0027678643218778443,100,0.0002767864321877844,0.0005425014070880574,percent_serviced
4,2,0.29437469931503574,0.003102536655075263,100,0.0003102536655075263,0.0006080971843947515,percent_serviced
5,1,0.25116528616233014,0.0026700127486750966,100,0.00026700127486750967,0.0005233224987403189,percent_serviced
5,2,0.28634887361813627,0.003287579199583927,100,0.0003287579199583927,0.0006443655231184497,percent_serviced
6,1,0.25750568175571625,0.002847258352042571,100,0.0002847258352042571,0.0005580626370003439,percent_serviced
6,2,0.28057698183767515,0.0029031782358611797,100,0.000290317823586118,0.0005690229342287912,percent_serviced
7,1,0.26168903914654085,0.0028742431655206457,100,0.00028742431655206455,0.0005633516604420466,percent_serviced
7,2,0.27609155721606676,0.003354600896477938,100,0.0003354600896477938,0.0006575017757096759,percent_serviced
8,1,0.26533081086696575,0.0029417485989173733,100,0.0002941748598917373,0.0005765827253878051,percent_serviced
8,2,0.272162072005031,0.0028365596435667583,100,0.00028365596435667585,0.0005559656901390846,percent_serviced
9,1,0.2688976243790122,0.0030578761420701796,100,0.00030578761420701795,0.0005993437238457552,percent_serviced
9,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
10,1,0.2729588895808225,0.002905125932884599,100,0.0002905125932884599,0.0005694046828453814,percent_serviced
10,2,0.2652602098088931,0.002672176603997551,100,0.0002672176603997551,0.00052374661438352,percent_serviced
11,1,0.2761246146847981,0.0031009282135628863,100,0.00031009282135628863,0.0006077819298583257,percent_serviced
11,2,0.26076895016326235,0.002740974975674974,100,0.0002740974975674974,0.0005372310952322949,percent_serviced
12,1,0.2829301292767841,0.0033894166975629372,100,0.0003389416697562937,0.0006643256727223356,percent_serviced
12,2,0.25495055041708453,0.0029578617111888977,100,0.00029578617111888976,0.000579740895393024,percent_serviced
13,1,0.29731534590195247,0.0028474176930475457,100,0.0002847417693047546,0.000558093867837319,percent_serviced
13,2,0.2396998063965693,0.003006571023241112,100,0.0003006571023241112,0.000589287920555258,percent_serviced
3,1,18236.66,113.28771095995144,100,11.328771095995144,22.20439134815048,arrivals
3,2,18252.81,136.25856992786962,100,13.62585699278696,26.70667970586244,arrivals
4,1,18241.8,142.36217861142083,100,14.236217861142084,27.902987007838483,arrivals
4,2,18246.38,142.98970648832108,100,14.298970648832107,28.02598247171093,arrivals
