background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count,valid_h3_thresholds,h3_design_active,h3_design_inactive_reason,noshow_high_low_focal,noshow_high_high_focal
H3B0001,A001,anchor,,rho_capacity_grid_rho_0.8_capacity_16,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A001,A001,1,4;6;9;12,True,,0.0,0.7
H3B0002,A002,anchor,,rho_capacity_grid_rho_0.8_capacity_32,0.8,0.3,32,25.6,7.68,17.919999999999998,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A002,A002,1,4;6;9;12,True,,0.0,0.7
H3B0003,A003,anchor,,rho_capacity_grid_rho_0.8_capacity_64,0.8,0.5,64,51.2,25.6,25.6,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A003,A003,1,4;6;9;12,True,,0.0,0.7
H3B0004,A004,anchor,,rho_capacity_grid_rho_1.25_capacity_16,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A004,A004,1,4;6;9;12,True,,0.0,0.7
H3B0005,A005,anchor,,rho_capacity_grid_rho_1.25_capacity_32,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A005,A005,1,4;6;9;12,True,,0.0,0.7
H3B0006,A006,anchor,,rho_capacity_grid_rho_1.25_capacity_64,1.25,0.1,64,80.0,8.0,72.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A006,A006,1,4;6;9;12,True,,0.0,0.7
H3B0007,A007,anchor,,rho_capacity_grid_rho_2.0_capacity_16,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A007,A007,1,4;6;9;12,True,,0.0,0.7
H3B0008,A008,anchor,,rho_capacity_grid_rho_2.0_capacity_32,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A008,A008,1,4;6;9;12,True,,0.0,0.7
H3B0009,A009,anchor,,rho_capacity_grid_rho_2.0_capacity_64,2.0,0.7,64,128.0,89.6,38.400000000000006,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A009,A009,1,4;6;9;12,True,,0.0,0.7
H3B0010,A010,anchor,,rho_capacity_grid_rho_3.1_capacity_16,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,0,6,0.0,0.0,0.0,0.3,,A010,A010,1,4;6;9;12,True,,0.0,0.7
